game_pk,game_type,season,game_date,game_date1,game_date2,game_number,scheduled_innings,innings_played,status_code,home_team,away_team,home_score,away_score
630491,R,2020,2020-09-06 17:10:00+00:00,2020-09-06 17:10:00+00:00,,1,9,,S,164.0,180.0,,
630492,R,2020,2020-08-01 23:35:00+00:00,2020-08-01 23:35:00+00:00,,1,9,11.0,F,189.0,181.0,5.0,4.0
630493,R,2020,2020-08-02 17:05:00+00:00,2020-08-02 17:05:00+00:00,,1,9,9.0,F,189.0,181.0,5.0,1.0
630495,R,2020,2020-07-29 23:35:00+00:00,2020-07-29 23:35:00+00:00,,1,9,9.0,F,189.0,187.0,3.0,9.0
630496,R,2020,2020-07-30 23:05:00+00:00,2020-07-30 23:05:00+00:00,,1,9,9.0,F,189.0,187.0,6.0,8.0
630497,R,2020,2020-09-04 03:33:00+00:00,2020-09-04 03:33:00+00:00,,2,7,,S,189.0,187.0,,
630554,R,2020,2020-09-23 23:10:00+00:00,2020-09-23 23:10:00+00:00,,1,9,,S,164.0,162.0,,
630568,R,2020,2020-08-15 23:35:00+00:00,2020-08-15 23:35:00+00:00,,1,9,,S,189.0,180.0,,
630569,R,2020,2020-09-25 23:10:00+00:00,2020-09-25 23:10:00+00:00,,1,9,,S,164.0,182.0,,
630570,R,2020,2020-09-26 23:10:00+00:00,2020-09-26 23:10:00+00:00,,1,9,,S,164.0,182.0,,
630573,R,2020,2020-09-27 19:10:00+00:00,2020-09-27 19:10:00+00:00,,1,9,,S,164.0,182.0,,
630575,R,2020,2020-08-04 23:35:00+00:00,2020-08-04 23:35:00+00:00,,1,9,9.0,F,189.0,162.0,0.0,4.0
630591,R,2020,2020-08-05 21:05:00+00:00,2020-08-05 21:05:00+00:00,,1,7,7.0,F,189.0,162.0,0.0,1.0
630592,R,2020,2020-07-31 23:35:00+00:00,2020-07-31 23:35:00+00:00,,1,9,9.0,F,189.0,181.0,6.0,3.0
630851,R,2020,2020-07-23 23:08:00+00:00,2020-07-23 23:08:00+00:00,,1,9,6.0,FR,180.0,187.0,1.0,4.0
